,Label1,Label2,Count,Total_Label_1,Total_Label_2,p_value,p_value_fdr
1896,Cysteine-rich secretory protein family,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4,318,273,0.0018897254625494836,0.0036647770952106242
1897,Glycerophosphoryl diester phosphodiesterase family,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,2,52,273,0.003284813035590823,0.005863772695926051
1898,Carbohydrate binding module (family 6),Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,2,149,273,0.024648592325428858,0.03386663190330869
1899,Calcineurin-like phosphoesterase,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,5,300,273,0.00014250180092426174,0.00040725773845348446
1900,Bacterial Ig-like domain (group 3),Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,1,275,273,0.3598741977916557,0.38820527899301255
1901,Concanavalin A-like lectin/glucanases superfamily,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,1,538,273,0.582469771856425,0.6115429812468417
1902,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,WD40-like Beta Propeller Repeat,3,273,481,0.04406828230482319,0.05674076052162831
1903,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,"Transcriptional regulatory protein, C terminal",1,273,446,0.5151160894700129,0.5444211501723296
1904,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Ricin-type beta-trefoil lectin domain-like,2,273,165,0.0297421631050746,0.0399752149326331
1905,Cellulose or protein binding domain,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,3,469,273,0.04141570734916379,0.05370665292308935
1906,Glycosyl hydrolases family 11,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,4,189,273,0.0002738797750504268,0.0007069591743796377
1907,Choline-binding repeat,FIVAR domain,22,1581,523,9.097905767607294e-09,9.363733078985367e-08
1908,Choline-binding repeat,"Glycosyl hydrolases family 2, sugar binding domain",9,1581,228,0.0003450583309348965,0.0008597145570238408
1909,Choline-binding repeat,NPCBM/NEW2 domain,3,1581,76,0.03492485459469004,0.046222954519260444
1910,Choline-binding repeat,"Glycosyl hydrolases family 2, TIM barrel domain",9,1581,307,0.0027339270314291134,0.005013250197664045
1911,Choline-binding repeat,F5/8 type C domain,11,1581,329,0.0003318485435901699,0.0008313099510314929
1912,Choline-binding repeat,Glycosyl hydrolases family 2,5,1581,253,0.09140110183844435,0.10980133527268847
1913,Choline-binding repeat,Glycoside hydrolase family 2 C-terminal domain 5,3,1581,64,0.022462380170257906,0.031121323692067993
1914,Cadherin-like beta sandwich domain,Choline-binding repeat,3,90,1581,0.053088385319571205,0.06708479760757646
1915,Choline-binding repeat,Glycerophosphoryl diester phosphodiesterase family,4,1581,52,0.0014590706115805824,0.002927627659937089
1916,Carbohydrate binding module (family 6),Choline-binding repeat,6,149,1581,0.0029731784602622115,0.0053741568952107984
1917,Calcineurin-like phosphoesterase,Choline-binding repeat,6,300,1581,0.06523078241775701,0.08078443268159809
1918,Bacterial Ig-like domain (group 3),Choline-binding repeat,5,275,1581,0.11855140227863396,0.13906435269276193
1919,Choline-binding repeat,Concanavalin A-like lectin/glucanases superfamily,19,1581,538,1.2635504695737978e-06,7.572879147645629e-06
1920,Choline-binding repeat,WD40-like Beta Propeller Repeat,23,1581,481,3.715149918601073e-10,4.959209481401833e-09
1921,Choline-binding repeat,"Transcriptional regulatory protein, C terminal",9,1581,446,0.026513547043388007,0.036100395905184636
1922,Cellulose or protein binding domain,Choline-binding repeat,12,469,1581,0.001858794324254867,0.0036115664576788094
1923,Choline-binding repeat,Glycosyl hydrolases family 11,16,1581,189,4.818740541030532e-11,7.47465102527294e-10
1924,FIVAR domain,Putative cell wall binding repeat,24,523,1390,2.7105895730386557e-11,4.331287527180856e-10
1925,"Glycosyl hydrolases family 2, sugar binding domain",Putative cell wall binding repeat,9,228,1390,0.00013462521478026116,0.0003878564255275826
1926,NPCBM/NEW2 domain,Putative cell wall binding repeat,3,76,1390,0.025204597024272277,0.034543345441166426
1927,"Glycosyl hydrolases family 2, TIM barrel domain",Putative cell wall binding repeat,9,307,1390,0.0011520260658456941,0.0023925716114394755
1928,F5/8 type C domain,Putative cell wall binding repeat,11,329,1390,0.00011101530497131134,0.0003310446294911746
1929,Glycosyl hydrolases family 2,Putative cell wall binding repeat,5,253,1390,0.059848853299082974,0.07470087768110217
1930,Glycoside hydrolase family 2 C-terminal domain 5,Putative cell wall binding repeat,3,64,1390,0.016055534489586736,0.023069203256359666
1931,Cadherin-like beta sandwich domain,Putative cell wall binding repeat,3,90,1390,0.03873889495860153,0.05061957349968426
1932,Glycerophosphoryl diester phosphodiesterase family,Putative cell wall binding repeat,4,52,1390,0.0009097844151508406,0.0019473718790966803
1933,Carbohydrate binding module (family 6),Putative cell wall binding repeat,10,149,1390,5.462052406143061e-07,3.659716707771227e-06
1934,Calcineurin-like phosphoesterase,Putative cell wall binding repeat,6,300,1390,0.03946685930213729,0.05144076208965536
1935,Bacterial Ig-like domain (group 3),Putative cell wall binding repeat,7,275,1390,0.008354086331017469,0.013007111896480981
1936,Concanavalin A-like lectin/glucanases superfamily,Putative cell wall binding repeat,16,538,1390,1.4527065692622979e-05,6.130125251558476e-05
1937,Putative cell wall binding repeat,WD40-like Beta Propeller Repeat,22,1390,481,1.9060165132172052e-10,2.662885367823794e-09
1938,Putative cell wall binding repeat,"Transcriptional regulatory protein, C terminal",8,1390,446,0.03338602096988222,0.04438232966402563
1939,Cellulose or protein binding domain,Putative cell wall binding repeat,14,469,1390,4.6799635742332716e-05,0.00016271667533953484
1940,Glycosyl hydrolases family 11,Putative cell wall binding repeat,18,189,1390,4.759796472698111e-14,1.0425668608684198e-12
1941,CarD-like/TRCF RID domain,Toprim domain,2,21,353,0.0008944143058527162,0.0019202372133855896
1942,CarD-like/TRCF RID domain,DNA gyrase B,2,21,119,0.00010286749442785746,0.00031065068041829456
1943,CarD-like/TRCF RID domain,"DNA gyrase B subunit, carboxyl terminus",2,21,79,4.5276795601906227e-05,0.00015808650838578436
1944,CarD-like/TRCF RID domain,DnaB-like helicase C terminal domain,2,21,345,0.0008547902067397867,0.0018474440372905371
1945,CarD-like/TRCF RID domain,Toprim-like,2,21,649,0.002960773201392879,0.005355603839139231
1946,Anticodon binding domain,CarD-like/TRCF RID domain,2,128,21,0.00011900613218098327,0.00034992744526538553
1947,CarD-like/TRCF RID domain,"tRNA synthetases class I (E and Q), catalytic domain",2,21,128,0.00011900613218098325,0.00034992744526538553
1948,CRISPR-associated endoribonuclease Cas6,CarD-like/TRCF RID domain,1,653,21,0.07827862314353347,0.09524904906366395
1949,CarD-like/TRCF RID domain,Reverse transcriptase (RNA-dependent DNA polymerase),1,21,1632,0.18479377543072553,0.20877395337018423
1950,CRISPR associated protein Cas1,CarD-like/TRCF RID domain,1,1386,21,0.1591897620472011,0.1819248720416723
1951,Toprim domain,UvrB interaction domain,2,353,23,0.001074576583882506,0.0022532217853096616
1952,DNA gyrase B,UvrB interaction domain,2,119,23,0.0001238162930608983,0.0003619609064923221
1953,"DNA gyrase B subunit, carboxyl terminus",UvrB interaction domain,2,79,23,5.451456275324757e-05,0.0001857303697559565
1954,DnaB-like helicase C terminal domain,UvrB interaction domain,2,345,23,0.0010270356284208938,0.0021627472949240067
1955,Toprim-like,UvrB interaction domain,2,649,23,0.003548908166729328,0.006275615681472874
1956,Anticodon binding domain,UvrB interaction domain,2,128,23,0.00014323135966372167,0.0004087540108136262
1957,UvrB interaction domain,"tRNA synthetases class I (E and Q), catalytic domain",2,23,128,0.0001432313596637217,0.0004087540108136262
1958,CRISPR-associated endoribonuclease Cas6,UvrB interaction domain,1,653,23,0.08540679918482763,0.10320591354945245
1959,Reverse transcriptase (RNA-dependent DNA polymerase),UvrB interaction domain,2,1632,23,0.02071283044099276,0.028955391456183307
1960,CRISPR associated protein Cas1,UvrB interaction domain,2,1386,23,0.0152429459631176,0.022020428539047204
1961,Phage minor capsid protein 2,Sigma factor regulator C-terminal,2,20,8,3.742857379207919e-07,2.6163306974267125e-06
1962,Phage minor capsid protein 2,Sigma-70 region 2,2,20,1441,0.012528039414596221,0.018544081249595966
1963,Bacterial toxin 50,Sigma factor regulator C-terminal,2,4,8,1.1824038126869e-08,1.1931949065362146e-07
1964,Bacterial toxin 50,Sigma-70 region 2,2,4,1441,0.0004331808917623473,0.0010427102792747445
1965,Domain of unknown function (DUF5125),Spy0128-like isopeptide containing domain,1,10,287,0.016896264059575415,0.024155711260446716
1966,Domain of unknown function (DUF5125),Domain of unknown function (DUF5979),1,10,75,0.004440437516920436,0.0075723650752465045
1967,Divergent InlB B-repeat domain,Domain of unknown function (DUF5125),2,1034,10,0.0016371799109355521,0.0032338526001542234
1968,Domain of unknown function (DUF5125),Listeria-Bacteroides repeat domain (List_Bact_rpt),2,10,1051,0.0016905727089107686,0.003325914514949297
1969,Domain of unknown function (DUF1735),Domain of unknown function (DUF5125),2,6,10,4.750353838465719e-08,4.201157669715811e-07
1970,Domain of unknown function (DUF5125),F5/8 type C domain,2,10,329,0.00016913588394593896,0.0004702464262942289
1971,Domain of unknown function (DUF5121),Spy0128-like isopeptide containing domain,1,10,287,0.016896264059575415,0.024155711260446716
1972,Domain of unknown function (DUF5121),Domain of unknown function (DUF5979),1,10,75,0.004440437516920436,0.0075723650752465045
1973,Divergent InlB B-repeat domain,Domain of unknown function (DUF5121),2,1034,10,0.0016371799109355521,0.0032338526001542234
1974,Domain of unknown function (DUF5121),Listeria-Bacteroides repeat domain (List_Bact_rpt),2,10,1051,0.0016905727089107686,0.003325914514949297
1975,Domain of unknown function (DUF1735),Domain of unknown function (DUF5121),2,6,10,4.750353838465719e-08,4.201157669715811e-07
1976,Domain of unknown function (DUF5121),F5/8 type C domain,2,10,329,0.00016913588394593896,0.0004702464262942289
1977,Periplasmic binding proteins and sugar binding domain of LacI family,YegS C-terminal NAD kinase beta sandwich-like domain,6,160,98,6.514615304049282e-10,8.325259619395984e-09
1978,"Bacterial regulatory proteins, lacI family",YegS C-terminal NAD kinase beta sandwich-like domain,11,405,98,1.2487575585338054e-15,3.203543429007878e-14
1979,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster",YegS C-terminal NAD kinase beta sandwich-like domain,2,75,98,0.0009029994139427191,0.00193565404127033
1980,"Oxidoreductase family, NAD-binding Rossmann fold",YegS C-terminal NAD kinase beta sandwich-like domain,5,82,98,1.5769333200815112e-09,1.8913138201464854e-08
1981,"Oxidoreductase family, C-terminal alpha/beta domain",YegS C-terminal NAD kinase beta sandwich-like domain,5,70,98,7.033521603221708e-10,8.938667866614337e-09
1982,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",YegS C-terminal NAD kinase beta sandwich-like domain,2,34,98,0.0001854103186872285,0.0005091273784191003
1983,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",YegS C-terminal NAD kinase beta sandwich-like domain,2,34,98,0.0001854103186872285,0.0005091273784191003
1984,Diacylglycerol kinase catalytic domain,Periplasmic binding proteins and sugar binding domain of LacI family,6,98,160,6.514615304049283e-10,8.325259619395984e-09
1985,"Bacterial regulatory proteins, lacI family",Diacylglycerol kinase catalytic domain,11,405,98,1.2487575585338054e-15,3.203543429007878e-14
1986,Diacylglycerol kinase catalytic domain,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster",2,98,75,0.0009029994139427191,0.00193565404127033
1987,Diacylglycerol kinase catalytic domain,"Oxidoreductase family, NAD-binding Rossmann fold",5,98,82,1.5769333200815114e-09,1.8913138201464854e-08
1988,Diacylglycerol kinase catalytic domain,"Oxidoreductase family, C-terminal alpha/beta domain",5,98,70,7.033521603221707e-10,8.938667866614337e-09
1989,Diacylglycerol kinase catalytic domain,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",2,98,34,0.00018541031868722855,0.0005091273784191003
1990,Diacylglycerol kinase catalytic domain,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",2,98,34,0.00018541031868722855,0.0005091273784191003
1991,DHHA1 domain,XdhC and CoxI family,2,175,38,0.0007350284834278053,0.001627563070447283
1992,DHH family,XdhC and CoxI family,2,167,38,0.0006699386204053545,0.0015035624502465553
1993,AMP-binding enzyme C-terminal domain,XdhC and CoxI family,2,119,38,0.00034166622151619457,0.000851673594007276
1994,AMP-binding enzyme,XdhC and CoxI family,2,125,38,0.0003768203440930454,0.0009285561023491717
1995,Pyridoxal-dependent decarboxylase conserved domain,XdhC and CoxI family,1,13,38,0.002926694250231659,0.005303238718082553
1996,Aminotransferase class-III,XdhC and CoxI family,1,29,38,0.006517331870116525,0.010507005818874619
1997,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",XdhC and CoxI family,1,31,38,0.006965275354334444,0.011121312625604115
1998,"Phosphoglucomutase/phosphomannomutase, C-terminal domain",XdhC and CoxI family,1,17,38,0.0038255364576864894,0.006675720933039374
1999,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",XdhC and CoxI family,1,25,38,0.005620854593936106,0.009262964090126473
2000,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",XdhC and CoxI family,1,17,38,0.0038255364576864894,0.006675720933039374
2001,DHHA1 domain,XdhC Rossmann domain,2,175,38,0.0007350284834278053,0.001627563070447283
2002,DHH family,XdhC Rossmann domain,2,167,38,0.0006699386204053545,0.0015035624502465553
2003,AMP-binding enzyme C-terminal domain,XdhC Rossmann domain,2,119,38,0.00034166622151619457,0.000851673594007276
2004,AMP-binding enzyme,XdhC Rossmann domain,2,125,38,0.0003768203440930454,0.0009285561023491717
2005,Pyridoxal-dependent decarboxylase conserved domain,XdhC Rossmann domain,1,13,38,0.002926694250231659,0.005303238718082553
2006,Aminotransferase class-III,XdhC Rossmann domain,1,29,38,0.006517331870116525,0.010507005818874619
2007,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",XdhC Rossmann domain,1,31,38,0.006965275354334444,0.011121312625604115
2008,"Phosphoglucomutase/phosphomannomutase, C-terminal domain",XdhC Rossmann domain,1,17,38,0.0038255364576864894,0.006675720933039374
2009,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",XdhC Rossmann domain,1,25,38,0.005620854593936106,0.009262964090126473
2010,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",XdhC Rossmann domain,1,17,38,0.0038255364576864894,0.006675720933039374
2011,DHHA1 domain,YqeC protein,2,175,34,0.0005881626545039717,0.0013490226519332915
2012,DHH family,YqeC protein,2,167,34,0.0005360108644169925,0.0012471133839934913
2013,AMP-binding enzyme C-terminal domain,YqeC protein,2,119,34,0.00027315688973613653,0.0007059198861484933
2014,AMP-binding enzyme,YqeC protein,2,125,34,0.00030129057028855776,0.0007657061359213998
2015,Pyridoxal-dependent decarboxylase conserved domain,YqeC protein,1,13,34,0.0026189939308198925,0.0048366632838861634
2016,Aminotransferase class-III,YqeC protein,1,29,34,0.00583323296753758,0.009564929268023359
2017,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",YqeC protein,1,31,34,0.00623430524572882,0.01012065082562101
2018,"Phosphoglucomutase/phosphomannomutase, C-terminal domain",YqeC protein,1,17,34,0.003423497994692329,0.006081414779746846
2019,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",YqeC protein,1,25,34,0.0050306170349709075,0.008432074289242336
2020,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",YqeC protein,1,17,34,0.003423497994692329,0.006081414779746846
2021,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,NlpC/P60 family,6,142,257,1.018673547644741e-07,8.431990770476504e-07
2022,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,LysM domain,6,142,393,1.2104103384506828e-06,7.2903159243066616e-06
2023,Bacterial dipeptidyl-peptidase Sh3 domain,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,4,74,142,5.303803517286759e-07,3.562922200355371e-06
2024,D-alanyl-D-alanine carboxypeptidase,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,2,224,142,0.015576370244151677,0.02244877727318075
2025,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,Putative peptidoglycan binding domain,4,142,348,0.0002315545969032201,0.0006136701358841172
2026,Calcineurin-like phosphoesterase,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,3,300,142,0.00217175360823047,0.00411786789155263
2027,"5'-nucleotidase, C-terminal domain",Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,2,65,142,0.001415451879326419,0.0028506183411738935
2028,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,Trypsin,2,142,60,0.0012078221586904856,0.002492180298896634
2029,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,Polysaccharide deacetylase,2,142,237,0.017317842365026207,0.02468332712357116
2030,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,N-acetylmuramoyl-L-alanine amidase,4,142,458,0.0006495303804875225,0.0014672511675516992
2031,AMIN domain,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,4,118,142,3.4369422914191194e-06,1.7842243474685698e-05
2032,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,VanW like protein,2,142,30,0.00030179701304100575,0.0007668047233532657
2033,Copper amine oxidase N-terminal domain,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,2,138,142,0.006179541357294539,0.010043576217951515
2034,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,"WD domain, G-beta repeat",2,142,258,0.020296292395644875,0.028432685492191672
2035,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,Protein kinase domain,2,142,773,0.13869537740590085,0.16031104693508927
2036,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain",2,142,42,0.0005934016597122166,0.0013577255856887798
2037,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,"Polysaccharide lyase family 8, N terminal alpha-helical domain",2,142,42,0.0005934016597122166,0.0013577255856887798
2038,Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain,"Polysaccharide lyase family 8, super-sandwich domain",2,142,42,0.0005934016597122166,0.0013577255856887798
2039,Glycosyl hydrolases family 31 TIM-barrel domain,NlpC/P60 family,6,182,257,4.394843060050678e-07,3.005032075154361e-06
2040,Glycosyl hydrolases family 31 TIM-barrel domain,LysM domain,8,182,393,1.458297659740933e-08,1.4510693315911104e-07
2041,Bacterial dipeptidyl-peptidase Sh3 domain,Glycosyl hydrolases family 31 TIM-barrel domain,4,74,182,1.4257673929845717e-06,8.403817669538766e-06
2042,D-alanyl-D-alanine carboxypeptidase,Glycosyl hydrolases family 31 TIM-barrel domain,2,224,182,0.02475771653016841,0.033987206525978766
2043,Glycosyl hydrolases family 31 TIM-barrel domain,Putative peptidoglycan binding domain,4,182,348,0.0005912702633395303,0.0013540475396025548
2044,Calcineurin-like phosphoesterase,Glycosyl hydrolases family 31 TIM-barrel domain,5,300,182,2.1013049418805518e-05,8.378072171859653e-05
2045,"5'-nucleotidase, C-terminal domain",Glycosyl hydrolases family 31 TIM-barrel domain,2,65,182,0.002305830071620239,0.004338275558770853
2046,Glycosyl hydrolases family 31 TIM-barrel domain,Trypsin,2,182,60,0.0019691360503856833,0.0037928110026851205
2047,Glycosyl hydrolases family 31 TIM-barrel domain,Polysaccharide deacetylase,4,182,237,0.00013845203786416786,0.00039705586503708726
2048,Glycosyl hydrolases family 31 TIM-barrel domain,N-acetylmuramoyl-L-alanine amidase,4,182,458,0.0016250887818068274,0.0032148833468637356
2049,AMIN domain,Glycosyl hydrolases family 31 TIM-barrel domain,4,118,182,9.162681082736756e-06,4.133902612868163e-05
2050,Glycosyl hydrolases family 31 TIM-barrel domain,VanW like protein,2,182,30,0.0004943522644143714,0.0011659315354506624
2051,Copper amine oxidase N-terminal domain,Glycosyl hydrolases family 31 TIM-barrel domain,2,138,182,0.009952844429186935,0.01514423167726089
2052,Glycosyl hydrolases family 31 TIM-barrel domain,"WD domain, G-beta repeat",2,182,258,0.03209309670014977,0.042856429893373606
2053,Glycosyl hydrolases family 31 TIM-barrel domain,Protein kinase domain,2,182,773,0.20351978786963584,0.22809792692180933
2054,Glycosyl hydrolases family 31 TIM-barrel domain,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain",2,182,42,0.0009701740410526968,0.002058098763398647
2055,Glycosyl hydrolases family 31 TIM-barrel domain,"Polysaccharide lyase family 8, N terminal alpha-helical domain",2,182,42,0.0009701740410526968,0.002058098763398647
2056,Glycosyl hydrolases family 31 TIM-barrel domain,"Polysaccharide lyase family 8, super-sandwich domain",2,182,42,0.0009701740410526968,0.002058098763398647
2057,Flavoprotein,"Thiamin pyrophosphokinase, vitamin B1 binding domain",2,19,18,1.839490312175634e-06,1.0446344736296507e-05
2058,DNA / pantothenate metabolism flavoprotein,"Thiamin pyrophosphokinase, vitamin B1 binding domain",2,27,18,3.7738850493515147e-06,1.931500523897061e-05
2059,Pyridoxal-dependent decarboxylase conserved domain,"Thiamin pyrophosphokinase, vitamin B1 binding domain",1,13,18,0.0013873159154592454,0.00280022756578981
2060,Aminotransferase class-III,"Thiamin pyrophosphokinase, vitamin B1 binding domain",1,29,18,0.003092286369493815,0.005555857461041182
2061,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I","Thiamin pyrophosphokinase, vitamin B1 binding domain",2,31,18,4.9983260744220236e-06,2.456045347928331e-05
2062,"Phosphoglucomutase/phosphomannomutase, C-terminal domain","Thiamin pyrophosphokinase, vitamin B1 binding domain",2,17,18,1.4631716059199316e-06,8.59977239784151e-06
2063,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III","Thiamin pyrophosphokinase, vitamin B1 binding domain",2,25,18,3.22595099764446e-06,1.6827191921870462e-05
2064,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II","Thiamin pyrophosphokinase, vitamin B1 binding domain",2,17,18,1.4631716059199316e-06,8.59977239784151e-06
2065,"Thiamin pyrophosphokinase, vitamin B1 binding domain","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2,18,54,1.5359577110337868e-05,6.413367849564947e-05
2066,"Thiamin pyrophosphokinase, vitamin B1 binding domain","Thiamine pyrophosphate enzyme, central domain",2,18,54,1.5359577110337868e-05,6.413367849564947e-05
2067,Flavoprotein,"Thiamin pyrophosphokinase, catalytic domain",2,19,18,1.839490312175634e-06,1.0446344736296507e-05
2068,DNA / pantothenate metabolism flavoprotein,"Thiamin pyrophosphokinase, catalytic domain",2,27,18,3.7738850493515147e-06,1.931500523897061e-05
2069,Pyridoxal-dependent decarboxylase conserved domain,"Thiamin pyrophosphokinase, catalytic domain",1,13,18,0.0013873159154592454,0.00280022756578981
2070,Aminotransferase class-III,"Thiamin pyrophosphokinase, catalytic domain",1,29,18,0.003092286369493815,0.005555857461041182
2071,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I","Thiamin pyrophosphokinase, catalytic domain",2,31,18,4.9983260744220236e-06,2.456045347928331e-05
2072,"Phosphoglucomutase/phosphomannomutase, C-terminal domain","Thiamin pyrophosphokinase, catalytic domain",2,17,18,1.4631716059199316e-06,8.59977239784151e-06
2073,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III","Thiamin pyrophosphokinase, catalytic domain",2,25,18,3.22595099764446e-06,1.6827191921870462e-05
2074,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II","Thiamin pyrophosphokinase, catalytic domain",2,17,18,1.4631716059199316e-06,8.59977239784151e-06
2075,"Thiamin pyrophosphokinase, catalytic domain","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",2,18,54,1.5359577110337868e-05,6.413367849564947e-05
2076,"Thiamin pyrophosphokinase, catalytic domain","Thiamine pyrophosphate enzyme, central domain",2,18,54,1.5359577110337868e-05,6.413367849564947e-05
2077,Cna protein B-type domain,Prealbumin-like fold domain,33,339,694,1.9888201783729967e-34,1.253744964274953e-32
2078,Prealbumin-like fold domain,Putative Ig domain,11,694,328,1.6416073257199594e-07,1.2787385541796735e-06
2079,Cadherin-like domain,Prealbumin-like fold domain,4,82,694,0.0003862336005706982,0.0009474614021829786
2080,Bacterial cadherin-like domain,Prealbumin-like fold domain,8,109,694,2.0901595658626377e-08,1.996223064357587e-07
2081,Haemolysin-type calcium binding protein related domain,Prealbumin-like fold domain,2,55,694,0.02176441189078987,0.030263802600259723
2082,Prealbumin-like fold domain,RTX calcium-binding nonapeptide repeat (4 copies),10,694,378,4.931532194439943e-06,2.428418461167771e-05
2083,Domain of unknown function (DUF6531),Prealbumin-like fold domain,11,138,694,1.909130632567842e-11,3.123029595696619e-10
2084,Prealbumin-like fold domain,RHS Repeat,29,694,231,1.0775214542281669e-33,6.611249587262852e-32
2085,Prealbumin-like fold domain,Right handed beta helix region,8,694,340,9.7863691068627e-05,0.0002981475674415795
2086,Periplasmic copper-binding protein (NosD),Prealbumin-like fold domain,6,207,694,0.0002404980277621255,0.0006333941816376855
2087,Prealbumin-like fold domain,RHS protein,10,694,58,5.729887697830366e-14,1.2458137531865246e-12
2088,Cna protein B-type domain,LPXTG cell wall anchor motif,18,339,577,4.0043879376818475e-16,1.068370701773517e-14
2089,LPXTG cell wall anchor motif,Spy0128-like isopeptide containing domain,18,577,287,2.162236583768487e-17,6.209523033691806e-16
2090,LPXTG cell wall anchor motif,Putative Ig domain,7,577,328,0.0001568644863136529,0.0004410507184535492
2091,Cadherin-like domain,LPXTG cell wall anchor motif,2,82,577,0.03244166584340927,0.04326880762718012
2092,Bacterial cadherin-like domain,LPXTG cell wall anchor motif,2,109,577,0.054159019845950576,0.06830412036320342
2093,Haemolysin-type calcium binding protein related domain,LPXTG cell wall anchor motif,2,55,577,0.015408284611220725,0.02223442675038111
2094,LPXTG cell wall anchor motif,RTX calcium-binding nonapeptide repeat (4 copies),4,577,378,0.042007264045422175,0.05435445548605721
2095,Domain of unknown function (DUF6531),LPXTG cell wall anchor motif,5,138,577,0.0001230667974944269,0.00036017723592247203
2096,LPXTG cell wall anchor motif,RHS Repeat,19,577,231,1.6867423779347178e-20,5.992572534116179e-19
2097,LPXTG cell wall anchor motif,Right handed beta helix region,4,577,340,0.030304071278037175,0.04065381702562607
2098,LPXTG cell wall anchor motif,Periplasmic copper-binding protein (NosD),2,577,207,0.1585429749051875,0.1812558383343228
2099,LPXTG cell wall anchor motif,RHS protein,8,577,58,2.961175477792833e-11,4.713489249755381e-10
2100,FtsX-like permease family,Sigma-70 region 2,34,221,1441,8.517481771557247e-32,4.892110294180256e-30
2101,FtsX-like permease family,"Sigma-70, region 4",31,221,1376,1.915434939173689e-28,1.0001375817498576e-26
2102,Domain of unknown function (DUF4131),FtsX-like permease family,13,158,221,7.39116032571286e-20,2.513602336427053e-18
2103,Competence protein,FtsX-like permease family,13,158,221,7.39116032571286e-20,2.513602336427053e-18
2104,FtsX-like permease family,Metallo-beta-lactamase superfamily,7,221,114,2.2100315044415278e-10,3.064843824100434e-09
2105,FtsX-like permease family,PDZ domain,3,221,206,0.002624263706859178,0.004843515189389202
2106,FtsX-like permease family,Peptidase family M50,3,221,38,1.812736543757209e-05,7.368494883311244e-05
2107,FtsX-like permease family,Tetratricopeptide repeat,1,221,1407,0.8433253229516836,0.8683118067260214
2108,FtsX-like permease family,Rhomboid family,3,221,40,2.1189171375250545e-05,8.442260647470455e-05
2109,MacB-like periplasmic core domain,Sigma-70 region 2,34,201,1441,3.002116031388365e-33,1.815051262602843e-31
