,Pfam_Label,If_Cas_Related_Protein
1272,Domain of unknown function (DUF4055),
1273,Domain of unknown function (DUF4062),
1274,Domain of unknown function (DUF4093),
1275,Domain of unknown function (DUF4094),
1276,Domain of unknown function (DUF4105),
1277,Domain of unknown function (DUF4112),
1278,Domain of unknown function (DUF4113),
1279,Domain of unknown function (DUF4116),
1280,Domain of unknown function (DUF4118),
1281,Domain of unknown function (DUF4121),
1282,Domain of unknown function (DUF4122),
1283,Domain of unknown function (DUF4123),
1284,Domain of unknown function (DUF4124),
1285,Domain of unknown function (DUF4129),
1286,Domain of unknown function (DUF4131),
1287,Domain of unknown function (DUF4132),
1288,Domain of unknown function (DUF4133),
1289,Domain of unknown function (DUF4134),
1290,Domain of unknown function (DUF4138),
1291,Domain of unknown function (DUF4142),
1292,Domain of unknown function (DUF4143),
1293,Domain of unknown function (DUF4145),
1294,Domain of unknown function (DUF4148),
1295,Domain of unknown function (DUF4149),
1296,Domain of unknown function (DUF4153),
1297,Domain of unknown function (DUF4156),
1298,Domain of unknown function (DUF4157),
1299,Domain of unknown function (DUF4158),
1300,Domain of unknown function (DUF4160),
1301,Domain of unknown function (DUF4165),
1302,Domain of unknown function (DUF4166),
1303,Domain of unknown function (DUF4168),
1304,Domain of unknown function (DUF4172),
1305,Domain of unknown function (DUF4174),
1306,Domain of unknown function (DUF4175),
1307,Domain of unknown function (DUF4176),
1308,Domain of unknown function (DUF4178),
1309,Domain of unknown function (DUF4179),
1310,Domain of unknown function (DUF4183),
1311,Domain of unknown function (DUF4188),
1312,Domain of unknown function (DUF4190),
1313,Domain of unknown function (DUF4194),
1314,Domain of unknown function (DUF4209),
1315,Domain of unknown function (DUF4214),
1316,Domain of unknown function (DUF4215),
1317,Domain of unknown function (DUF4216),
1318,Domain of unknown function (DUF4218),
1319,Domain of unknown function (DUF4219),
1320,Domain of unknown function (DUF4220),
1321,Domain of unknown function (DUF4221),
1322,Domain of unknown function (DUF4222),
1323,Domain of unknown function (DUF4234),
1324,Domain of unknown function (DUF4248),
1325,Domain of unknown function (DUF4249),
1326,Domain of unknown function (DUF4250),
1327,Domain of unknown function (DUF4251),
1328,Domain of unknown function (DUF4252),
1329,Domain of unknown function (DUF4253),
1330,Domain of unknown function (DUF4258),
1331,Domain of unknown function (DUF4259),
1332,Domain of unknown function (DUF4261),
1333,Domain of unknown function (DUF4265),
1334,Domain of unknown function (DUF4270),
1335,Domain of unknown function (DUF4271),
1336,Domain of unknown function (DUF4274),
1337,Domain of unknown function (DUF4277),
1338,Domain of unknown function (DUF4278),
1339,Domain of unknown function (DUF4279),
1340,Domain of unknown function (DUF4283),
1341,Domain of unknown function (DUF4288),
1342,Domain of unknown function (DUF4292),
1343,Domain of unknown function (DUF4296),
1344,Domain of unknown function (DUF4298),
1345,Domain of unknown function (DUF4299),
1346,Domain of unknown function (DUF4300),
1347,Domain of unknown function (DUF4303),
1348,Domain of unknown function (DUF4304),
1349,Domain of unknown function (DUF4307),
1350,Domain of unknown function (DUF4313),
1351,Domain of unknown function (DUF4314),
1352,Domain of unknown function (DUF4315),
1353,Domain of unknown function (DUF4317),
1354,Domain of unknown function (DUF4318),
1355,Domain of unknown function (DUF4326),
1356,Domain of unknown function (DUF4328),
1357,Domain of unknown function (DUF4329),
1358,Domain of unknown function (DUF4332),
1359,Domain of unknown function (DUF4333),
1360,Domain of unknown function (DUF4335),
1361,Domain of unknown function (DUF4336),
1362,Domain of unknown function (DUF4340),
1363,Domain of unknown function (DUF4342),
1364,Domain of unknown function (DUF4347),
1365,Domain of unknown function (DUF4351),
1366,Domain of unknown function (DUF4352),
1367,Domain of unknown function (DUF4355),
1368,Domain of unknown function (DUF4357),
1369,Domain of unknown function (DUF4358),
1370,Domain of unknown function (DUF4362),
1371,Domain of unknown function (DUF4363),
1372,Domain of unknown function (DUF4364),
1373,Domain of unknown function (DUF4365),
1374,Domain of unknown function (DUF4366),
1375,Domain of unknown function (DUF4368),
1376,Domain of unknown function (DUF4369),
1377,Domain of unknown function (DUF4371),
1378,Domain of unknown function (DUF4372),
1379,Domain of unknown function (DUF4375),
1380,Domain of unknown function (DUF4376),
1381,Domain of unknown function (DUF4377),
1382,Domain of unknown function (DUF4381),
1383,Domain of unknown function (DUF4382),
1384,Domain of unknown function (DUF4384),
1385,Domain of unknown function (DUF4388),
1386,Domain of unknown function (DUF4389),
1387,Domain of unknown function (DUF4391),
1388,Domain of unknown function (DUF4394),
1389,Domain of unknown function (DUF4395),
1390,Domain of unknown function (DUF4397),
1391,Domain of unknown function (DUF4400),
1392,Domain of unknown function (DUF4401),
1393,Domain of unknown function (DUF4403),
1394,Domain of unknown function (DUF4405),
1395,Domain of unknown function (DUF4406),
1396,Domain of unknown function (DUF4407),
1397,Domain of unknown function (DUF4417),
1398,Domain of unknown function (DUF4418),
1399,Domain of unknown function (DUF4428),
1400,Domain of unknown function (DUF4429),
1401,Domain of unknown function (DUF4430),
1402,Domain of unknown function (DUF4434),
1403,Domain of unknown function (DUF4440),
1404,Domain of unknown function (DUF4454),
1405,Domain of unknown function (DUF4457),
1406,Domain of unknown function (DUF4465),
1407,Domain of unknown function (DUF4468) with TBP-like fold,
1408,Domain of unknown function (DUF4476),
1409,Domain of unknown function (DUF4493),
1410,Domain of unknown function (DUF4494),
1411,Domain of unknown function (DUF4520),
1412,Domain of unknown function (DUF4524),
1413,Domain of unknown function (DUF4595) with porin-like fold,
1414,Domain of unknown function (DUF4646),
1415,Domain of unknown function (DUF4649),
1416,Domain of unknown function (DUF4756),
1417,Domain of unknown function (DUF4760),
1418,Domain of unknown function (DUF4767),
1419,Domain of unknown function (DUF4783),
1420,Domain of unknown function (DUF4787),
1421,Domain of unknown function (DUF4810),
1422,Domain of unknown function (DUF4811),
1423,Domain of unknown function (DUF4815),
1424,Domain of unknown function (DUF4825),
1425,Domain of unknown function (DUF4827),
1426,Domain of unknown function (DUF4830),
1427,Domain of unknown function (DUF4833),
1428,Domain of unknown function (DUF4834),
1429,Domain of unknown function (DUF4836),
1430,Domain of unknown function (DUF4837),
1431,Domain of unknown function (DUF4838),
1432,Domain of unknown function (DUF4840),
1433,Domain of unknown function (DUF4843),
1434,Domain of unknown function (DUF4845),
1435,Domain of unknown function (DUF4856),
1436,Domain of unknown function (DUF4859),
1437,Domain of unknown function (DUF4860),
1438,Domain of unknown function (DUF4864),
1439,Domain of unknown function (DUF4870),
1440,Domain of unknown function (DUF4878),
1441,Domain of unknown function (DUF4880),
1442,Domain of unknown function (DUF4882),
1443,Domain of unknown function (DUF4886),
1444,Domain of unknown function (DUF4887),
1445,Domain of unknown function (DUF4906),
1446,Domain of unknown function (DUF4907),
1447,Domain of unknown function (DUF4912),
1448,Domain of unknown function (DUF4919),
1449,Domain of unknown function (DUF4926),
1450,Domain of unknown function (DUF4936),
1451,Domain of unknown function (DUF4939),
1452,Domain of unknown function (DUF4942),
1453,Domain of unknown function (DUF4956),
1454,Domain of unknown function (DUF4959),
1455,Domain of unknown function (DUF4979),
1456,Domain of unknown function (DUF4982),
1457,Domain of unknown function (DUF5009),
1458,Domain of unknown function (DUF5018),
1459,Domain of unknown function (DUF5028),
1460,Domain of unknown function (DUF5038),
1461,Domain of unknown function (DUF5050),
1462,Domain of unknown function (DUF5056),
1463,Domain of unknown function (DUF5058),
1464,Domain of unknown function (DUF5059),
1465,Domain of unknown function (DUF5067),
1466,Domain of unknown function (DUF5068),
1467,Domain of unknown function (DUF5071),
1468,Domain of unknown function (DUF5074),
1469,Domain of unknown function (DUF5076),
1470,Domain of unknown function (DUF5077),
1471,Domain of unknown function (DUF5079),
1472,Domain of unknown function (DUF5082),
1473,Domain of unknown function (DUF5104),
1474,Domain of unknown function (DUF5105),
1475,Domain of unknown function (DUF5106),
1476,Domain of unknown function (DUF5110),
1477,Domain of unknown function (DUF5115),
1478,Domain of unknown function (DUF5117),
1479,Domain of unknown function (DUF5118),
1480,Domain of unknown function (DUF5119),
1481,Domain of unknown function (DUF5121),
1482,Domain of unknown function (DUF5122) beta-propeller,
1483,Domain of unknown function (DUF5123),
1484,Domain of unknown function (DUF5125),
1485,Domain of unknown function (DUF5126),
1486,Domain of unknown function (DUF5134),
1487,Domain of unknown function (DUF5300),
1488,Domain of unknown function (DUF5348),
1489,Domain of unknown function (DUF5600),
1490,Domain of unknown function (DUF5615),
1491,Domain of unknown function (DUF5655),
1492,Domain of unknown function (DUF5658),
1493,Domain of unknown function (DUF5659),
1494,Domain of unknown function (DUF5665),
1495,Domain of unknown function (DUF5666),
1496,Domain of unknown function (DUF5667),
1497,Domain of unknown function (DUF5668),
1498,Domain of unknown function (DUF5673),
1499,Domain of unknown function (DUF5679),
1500,Domain of unknown function (DUF5698),
1501,Domain of unknown function (DUF5710),
1502,Domain of unknown function (DUF5753),
1503,Domain of unknown function (DUF5776),
1504,Domain of unknown function (DUF5801),
1505,Domain of unknown function (DUF5915),
1506,Domain of unknown function (DUF5916),
1507,Domain of unknown function (DUF5919),
1508,Domain of unknown function (DUF5979),
1509,Domain of unknown function (DUF6089),
1510,Domain of unknown function (DUF6268),
1511,Domain of unknown function (DUF6287),
1512,Domain of unknown function (DUF6321),
1513,Domain of unknown function (DUF6359),
1514,Domain of unknown function (DUF6363),
1515,Domain of unknown function (DUF6371),
1516,Domain of unknown function (DUF6378),
1517,Domain of unknown function (DUF6382),
1518,Domain of unknown function (DUF6383),
1519,Domain of unknown function (DUF6398),
1520,Domain of unknown function (DUF6431),
1521,Domain of unknown function (DUF6438),
1522,Domain of unknown function (DUF6443),
1523,Domain of unknown function (DUF6449),
1524,Domain of unknown function (DUF6450),
1525,Domain of unknown function (DUF6451),
1526,Domain of unknown function (DUF6457),
1527,Domain of unknown function (DUF6471),
1528,Domain of unknown function (DUF6475),
1529,Domain of unknown function (DUF6531),
1530,Domain of unknown function (DUF6532),
1531,Domain of unknown function (DUF6538),
1532,Domain of unknown function (DUF6542),
1533,Domain of unknown function (DUF6570),
1534,Domain of unknown function (DUF6602),
1535,Domain of unknown function (DUF6702),
1536,Domain of unknown function (DUF6721),
1537,Domain of unknown function (DUF6754),
1538,Domain of unknown function (DUF6792),
1539,Domain of unknown function (DUF6794),
1540,Domain of unknown function (DUF6813),
1541,Domain of unknown function (DUF6838),
1542,Domain of unknown function (DUF6872),
1543,Domain of unknown function (DUF6881),
1544,Domain of unknown function (DUF6883),
1545,Domain of unknown function (DUF697),
1546,Domain of unknown function (DUF927),
1547,Domain of unknown function (DUF929),
1548,Domain of unknown function (DUF932),
1549,Domain of unknown function (DUF956),
1550,Domain of unknown function DUF11,
1551,Domain of unknown function DUF123,
1552,Domain of unknown function DUF1828,
1553,Domain of unknown function DUF223,
1554,Domain of unknown function DUF29,
1555,Domain of unknown function DUF302,
1556,Domain of unknown function DUF83,
1557,"Domain of unknown function, B. Theta Gene description (DUF3873)",
1558,"Domain of unknown function, B. Theta Gene description (DUF3875)",
1559,"Domain of unknown function, B. Theta Gene description (DUF3876)",
1560,"Domain of unknown function, E. rectale Gene description (DUF3878)",
1561,"Domain of unknown function, E. rectale Gene description (DUF3881)",
1562,DotD protein,
1563,Double zinc ribbon,
1564,Double zinc ribbon domain,
1565,Double-stranded DNA deaminase toxin A,
1566,Double-stranded DNA-binding domain,
1567,Double-stranded RNA binding motif,
1568,Doubled CXXCH motif (Paired_CXXCH_1),
1569,DoxX,
1570,DpnD/PcfM-like protein,
1571,DprA winged helix domain,
1572,Dpy-30 motif,
1573,Druantia protein DruA,
1574,DsrE/DsrF-like family,
1575,DsrE/DsrF/DrsH-like family,
1576,"Dual specificity phosphatase, catalytic domain",
1577,Dynamin family,
1578,Dynamin-like helical domain,
1579,Dynein heavy chain AAA lid domain,
1580,Dynein heavy chain C-terminal domain,
1581,"Dynein heavy chain, N-terminal region 1",
1582,"Dynein heavy chain, N-terminal region 2",
1583,"Dyp-type peroxidase, C-terminal",
1584,E motif,
1585,E+ motif,
1586,E1-E2 ATPase,
1587,E2F/DP family winged-helix DNA-binding domain,
1588,E3 UFM1-protein ligase 1,
1589,E3 Ubiquitin ligase,
1590,EAL domain,
1591,EAP30/Vps36 family,
1592,ECF sigma factor,
1593,"ECF transporter, substrate-specific component",
1594,"ECF-type riboflavin transporter, S component",
1595,EF hand,
1596,EF-hand domain pair,
1597,EGF domain,
1598,EGF-like domain,
1599,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),
1600,ERCC4 domain,
1601,ERF superfamily,
1602,EVE domain,
1603,Ead/Ea22-like protein,
1604,EamA-like transporter family,
1605,"Early transcription elongation factor of RNA pol II, NGN section",
1606,Eco57I restriction-modification methylase,
1607,EcoEI R protein C-terminal,
1608,EcsC protein family,
1609,Effector-associated domain 11,
1610,Effector-associated domain 7,
1611,Electron transfer DM13,
1612,Electron transfer flavoprotein FAD-binding domain,
1613,Electron transfer flavoprotein domain,
1614,"Elongation Factor G, domain III",
1615,Elongation factor G C-terminus,
1616,"Elongation factor G, domain IV",
1617,Elongation factor P (EF-P) KOW-like domain,
1618,Elongation factor TS,
1619,Elongation factor Tu GTP binding domain,
1620,Elongation factor Tu domain 2,
1621,Emfourin,
1622,"Endo-alpha-N-acetylgalactosaminidase, domain 5",
1623,Endodeoxyribonuclease RusA,
1624,Endomembrane protein 70,
1625,Endonuclease I,
1626,Endonuclease NucS C-terminal domain,
1627,Endonuclease domain,
1628,Endonuclease related to archaeal Holliday junction resolvase,
1629,Endonuclease-reverse transcriptase,
1630,Endonuclease/Exonuclease/phosphatase family,
1631,Endoribonuclease L-PSP,
1632,Endoribonuclease YbeY,
1633,Endosomal/lysosomal potassium channel TMEM175,
1634,Endospore appendages,
1635,Enolase C-terminal domain-like,
1636,Enolase N-terminal domain-like,
1637,"Enolase, C-terminal TIM barrel domain",
1638,"Enolase, N-terminal domain",
1639,Enoyl-(Acyl carrier protein) reductase,
1640,Enoyl-CoA hydratase/isomerase,
1641,Entericidin EcnA/B family,
1642,"Enterobacter phage Enc34, ssDNA-binding protein",
1643,Enterobacterial Ail/Lom protein,
1644,Enterobacterial EspB protein,
1645,Enterobacterial TraT complement resistance protein,
1646,Enterocin A Immunity,
1647,"Epoxyqueuosine reductase QueG, DUF1730",
1648,Epoxyqueuosine reductase QueH,
1649,EpsG family,
1650,Ergosterol biosynthesis ERG4/ERG24 family,
1651,Erythromycin esterase,
1652,EspA-like secreted protein,
1653,EspG family,
1654,EspG protein,
1655,"Essential protein Yae1, N terminal",
1656,Esterase PHB depolymerase,
1657,Esterase-like activity of phytase,
1658,EthD domain,
1659,Etoposide-induced protein 2.4 (EI24),
1660,"Eukaryotic DNA topoisomerase I, DNA binding fragment",
1661,Eukaryotic initiation factor 4E,
1662,Eukaryotic phosphomannomutase,
1663,Eukaryotic protein of unknown function (DUF829),
1664,EutQ-like cupin domain,
1665,Excalibur calcium-binding domain,
1666,Excisionase from transposon Tn916,
1667,"Excreted virulence factor EspC, type VII ESX diderm",
1668,Exocyst complex component Exo70 N-terminal,
1669,"Exodeoxyribonuclease V, gamma subunit",
1670,Exodeoxyribonuclease X-like C-terminal,
1671,Exonuclease,
1672,Exonuclease VII small subunit,
1673,"Exonuclease VII, large subunit",
1674,Exopolysaccharide biosynthesis protein YbjH,
1675,"Exopolysaccharide synthesis, ExoD",
1676,Exostosin family,
1677,Exportin-5 family,
1678,Extended Signal Peptide of Type V secretion system,
1679,Extracellular fibrinogen binding protein C terminal,
1680,Extracellular matrix regulatory protein A-like,
1681,F plasmid transfer operon protein,
1682,"F plasmid transfer operon, TraF, protein",
1683,F subunit of K+-transporting ATPase (Potass_KdpF),
1684,F-box associated,
1685,F-box associated domain,
1686,F-box domain,
1687,F-box only protein C-terminal region,
1688,F-box-like,
1689,"F-type Type IV secretion system, TraN",
1690,F420H(2)-dependent quinone reductase,
1691,F5/8 type C domain,
1692,FAD binding domain,
1693,FAD binding domain of DNA photolyase,
1694,FAD dependent oxidoreductase,
1695,FAD synthetase,
1696,FAD-binding domain,
1697,FAE1/Type III polyketide synthase-like protein,
1698,FAR1 DNA-binding domain,
1699,FBD,
1700,FCD domain,
1701,FG-GAP repeat,
1702,FG-GAP-like repeat,
1703,"FGGY family of carbohydrate kinases, C-terminal domain",
1704,"FGGY family of carbohydrate kinases, N-terminal domain",
1705,FHA domain,
1706,FHIPEP family,
1707,FIST C domain,
1708,FIST N domain,
1709,FIVAR domain,
1710,FKBP-type peptidyl-prolyl cis-trans isomerase,
1711,FLYWCH zinc finger domain,
1712,FMN-binding domain,
1713,FMN-dependent dehydrogenase,
1714,FNIP Repeat,
1715,FR47-like protein,
1716,FRG domain,
1717,FTO C-terminal domain,
1718,FTO catalytic domain,
1719,FUSC-like inner membrane protein yccS,
1720,FabA-like domain,
1721,FaeA-like protein,
1722,Family 4 Glycosyltransferase in conflict systems,
1723,Family 4 glycosyl hydrolase C-terminal domain,
1724,Family of unknown function,
1725,Family of unknown function (DUF5304),
1726,Family of unknown function (DUF5305),
1727,Family of unknown function (DUF5309),
1728,Family of unknown function (DUF5316),
1729,Family of unknown function (DUF5331),
1730,Family of unknown function (DUF5334),
1731,Family of unknown function (DUF5336),
1732,Family of unknown function (DUF5338),
1733,Family of unknown function (DUF5339),
1734,Family of unknown function (DUF5343),
1735,Family of unknown function (DUF5344),
1736,Family of unknown function (DUF5345),
1737,Family of unknown function (DUF5362),
1738,Family of unknown function (DUF5374),
1739,Family of unknown function (DUF5375),
1740,Family of unknown function (DUF5388),
1741,Family of unknown function (DUF5390),
1742,Family of unknown function (DUF5400),
1743,Family of unknown function (DUF5431),
1744,Family of unknown function (DUF5507),
1745,Family of unknown function (DUF5508),
1746,Family of unknown function (DUF5518),
1747,Family of unknown function (DUF5522),
1748,Family of unknown function (DUF5565),
1749,Family of unknown function (DUF5592),
1750,Family of unknown function (DUF5639),
1751,Family of unknown function (DUF5641),
1752,Family of unknown function (DUF5651),
1753,Family of unknown function (DUF5654),
1754,Family of unknown function (DUF5662),
1755,Family of unknown function (DUF5675),
1756,Family of unknown function (DUF5677),
1757,Family of unknown function (DUF5678),
1758,Family of unknown function (DUF5681),
1759,Family of unknown function (DUF5683),
1760,Family of unknown function (DUF5684),
1761,Family of unknown function (DUF5685),
1762,Family of unknown function (DUF5688),
1763,Family of unknown function (DUF5689),
1764,Family of unknown function (DUF5691),
1765,Family of unknown function (DUF5692),
1766,Family of unknown function (DUF5693),
1767,Family of unknown function (DUF5695),
1768,Family of unknown function (DUF5697),
1769,Family of unknown function (DUF5703),
1770,Family of unknown function (DUF5704),
1771,Family of unknown function (DUF5711),
1772,Family of unknown function (DUF5712),
1773,Family of unknown function (DUF5717)C-terminal,
1774,Family of unknown function (DUF5717)N-terminal,
1775,Family of unknown function (DUF5723),
1776,Family of unknown function (DUF5724),
1777,Family of unknown function (DUF5754),
1778,Family of unknown function (DUF5758),
1779,Family of unknown function (DUF5767),
1780,Family of unknown function (DUF5780),
1781,Family of unknown function (DUF5786),
1782,Family of unknown function (DUF5814),
1783,Family of unknown function (DUF5816),
1784,Family of unknown function (DUF5819),
1785,Family of unknown function (DUF5824),
1786,Family of unknown function (DUF5826),
1787,Family of unknown function (DUF5827),
1788,Family of unknown function (DUF5837),
1789,Family of unknown function (DUF5839),
1790,Family of unknown function (DUF5846),
1791,Family of unknown function (DUF5872),
1792,Family of unknown function (DUF5898),
1793,Family of unknown function (DUF5906),
1794,Family of unknown function (DUF5934),
1795,Family of unknown function (DUF5960),
1796,Family of unknown function (DUF5968),
1797,Family of unknown function (DUF5983),
1798,Family of unknown function (DUF5984),
1799,Family of unknown function (DUF5996),
1800,Family of unknown function (DUF6010),
1801,Family of unknown function (DUF6011),
1802,Family of unknown function (DUF6012),
1803,Family of unknown function (DUF6017),
1804,Family of unknown function (DUF6018),
1805,Family of unknown function (DUF6020),
1806,Family of unknown function (DUF6022),
1807,Family of unknown function (DUF6034),
1808,Family of unknown function (DUF6037),
1809,Family of unknown function (DUF6049),
1810,Family of unknown function (DUF6050),
1811,Family of unknown function (DUF6054),
1812,Family of unknown function (DUF6055),
1813,Family of unknown function (DUF6056),
1814,Family of unknown function (DUF6057),
1815,Family of unknown function (DUF6070),
1816,Family of unknown function (DUF6072),
1817,Family of unknown function (DUF6074),
1818,Family of unknown function (DUF6075),
1819,Family of unknown function (DUF6076),
1820,Family of unknown function (DUF6078),
1821,Family of unknown function (DUF6079),
1822,Family of unknown function (DUF6083),
1823,Family of unknown function (DUF6090),
1824,Family of unknown function (DUF6110),
1825,Family of unknown function (DUF6119),
1826,Family of unknown function (DUF6124),
1827,Family of unknown function (DUF6130),
1828,Family of unknown function (DUF6133),
1829,Family of unknown function (DUF6136),
1830,Family of unknown function (DUF6138),
1831,Family of unknown function (DUF6140),
1832,Family of unknown function (DUF6142),
1833,Family of unknown function (DUF6155),
1834,Family of unknown function (DUF6160),
1835,Family of unknown function (DUF6166),
1836,Family of unknown function (DUF6171),
1837,Family of unknown function (DUF6174),
1838,Family of unknown function (DUF6175),
1839,Family of unknown function (DUF6191),
1840,Family of unknown function (DUF6194),
1841,Family of unknown function (DUF6198),
1842,Family of unknown function (DUF6207),
1843,Family of unknown function (DUF6213),
1844,Family of unknown function (DUF6220),
1845,Family of unknown function (DUF6241),
1846,Family of unknown function (DUF6243),
1847,Family of unknown function (DUF6247),
1848,Family of unknown function (DUF6252),
1849,Family of unknown function (DUF6260),
1850,Family of unknown function (DUF6261),
1851,Family of unknown function (DUF6263),
1852,Family of unknown function (DUF6266),
1853,Family of unknown function (DUF6267),
1854,Family of unknown function (DUF6270),
1855,Family of unknown function (DUF6273),
1856,Family of unknown function (DUF6275),
1857,Family of unknown function (DUF6284),
1858,Family of unknown function (DUF6286),
1859,Family of unknown function (DUF6290),
1860,Family of unknown function (DUF6291),
1861,Family of unknown function (DUF6293),
1862,Family of unknown function (DUF6301),
1863,Family of unknown function (DUF6303),
1864,Family of unknown function (DUF6304),
1865,Family of unknown function (DUF6314),
1866,Family of unknown function (DUF6318),
1867,Family of unknown function (DUF6327),
1868,Family of unknown function (DUF6332),
1869,Family of unknown function (DUF6348),
1870,Family of unknown function (DUF6350),
1871,Family of unknown function (DUF6353),
1872,Family of unknown function (DUF6356),
1873,Family of unknown function (DUF6364),
1874,Family of unknown function (DUF6384),
1875,Family of unknown function (DUF6387),
1876,Family of unknown function (DUF6404),
1877,Family of unknown function (DUF6412),
1878,Family of unknown function (DUF6428),
1879,Family of unknown function (DUF6440),
1880,Family of unknown function (DUF6442),
1881,Family of unknown function (DUF6445),
1882,Family of unknown function (DUF6447),
1883,Family of unknown function (DUF6459),
1884,Family of unknown function (DUF6461),
1885,Family of unknown function (DUF6462),
1886,Family of unknown function (DUF6465),
1887,Family of unknown function (DUF6470),
1888,Family of unknown function (DUF6483),
1889,Family of unknown function (DUF6486),
1890,Family of unknown function (DUF6491),
1891,Family of unknown function (DUF6493),
1892,Family of unknown function (DUF6496),
1893,Family of unknown function (DUF6499),
1894,Family of unknown function (DUF6502),
1895,Family of unknown function (DUF6505),
1896,Family of unknown function (DUF6512),
1897,Family of unknown function (DUF6514),
1898,Family of unknown function (DUF6515),
1899,Family of unknown function (DUF6516),
1900,Family of unknown function (DUF6519),
1901,Family of unknown function (DUF6535),
1902,Family of unknown function (DUF6537),
1903,Family of unknown function (DUF6543),
1904,Family of unknown function (DUF6545),
1905,Family of unknown function (DUF6551),
1906,Family of unknown function (DUF6552),
1907,Family of unknown function (DUF6557),
1908,Family of unknown function (DUF6560),
1909,Family of unknown function (DUF6562),
1910,Family of unknown function (DUF6563),
1911,Family of unknown function (DUF6568),
1912,Family of unknown function (DUF6569),
1913,Family of unknown function (DUF6571),
1914,Family of unknown function (DUF6572),
1915,Family of unknown function (DUF6576),
1916,Family of unknown function (DUF6577),
1917,Family of unknown function (DUF6578),
1918,Family of unknown function (DUF6580),
1919,Family of unknown function (DUF6583),
1920,Family of unknown function (DUF6591),
1921,Family of unknown function (DUF6596),
1922,Family of unknown function (DUF6600),
1923,Family of unknown function (DUF6606),
1924,Family of unknown function (DUF6609),
1925,Family of unknown function (DUF6612),
1926,Family of unknown function (DUF6619),
1927,Family of unknown function (DUF6624),
1928,Family of unknown function (DUF6626),
1929,Family of unknown function (DUF6633),
1930,Family of unknown function (DUF6644),
1931,Family of unknown function (DUF6660),
1932,Family of unknown function (DUF6666),
1933,Family of unknown function (DUF6677),
1934,Family of unknown function (DUF6680),
1935,Family of unknown function (DUF6683),
1936,Family of unknown function (DUF6685),
1937,Family of unknown function (DUF6691),
1938,Family of unknown function (DUF6698),
1939,Family of unknown function (DUF6704),
1940,Family of unknown function (DUF6705),
1941,Family of unknown function (DUF6709),
1942,Family of unknown function (DUF6710),
1943,Family of unknown function (DUF6711),
1944,Family of unknown function (DUF6712),
1945,Family of unknown function (DUF6717),
1946,Family of unknown function (DUF6722),
1947,Family of unknown function (DUF6724),
1948,Family of unknown function (DUF6730),
1949,Family of unknown function (DUF6731),
1950,Family of unknown function (DUF6746),
1951,Family of unknown function (DUF6764),
1952,Family of unknown function (DUF6765),
1953,Family of unknown function (DUF6769),
1954,Family of unknown function (DUF6773),
1955,Family of unknown function (DUF6774),
1956,Family of unknown function (DUF6788),
1957,Family of unknown function (DUF6789),
1958,Family of unknown function (DUF6790),
1959,Family of unknown function (DUF6809),
1960,Family of unknown function (DUF6812),
1961,Family of unknown function (DUF6850),
1962,Family of unknown function (DUF6870),
1963,Family of unknown function (DUF6873),
1964,Family of unknown function (DUF6876),
1965,Family of unknown function (DUF6877),
1966,Family of unknown function (DUF6878),
1967,Family of unknown function (DUF695),
1968,Fasciclin domain,
1969,Fatty acid desaturase,
1970,"Fatty acid kinase subunit A-like, middle domain",
1971,FdhD/NarQ family,
1972,Fe-S metabolism associated domain,
1973,FecCD transport family,
1974,FecR protein,
1975,"FecR, C-terminal",
1976,FemAB family,
1977,FeoA domain,
1978,FeoB cytosolic helical domain,
1979,FeoB-associated Cys-rich membrane protein,
1980,Ferredoxin-dependent bilin reductase,
1981,Ferredoxin-like domain in Api92-like protein,
1982,Ferric iron reductase FhuF-like transporter,
1983,Ferric reductase NAD binding domain,
1984,Ferric reductase like transmembrane component,
1985,Ferric uptake regulator family,
1986,Ferritin-like domain,
1987,Ferrochelatase,
1988,Ferrous iron transport protein B,
1989,"Fes/CIP4, and EFC/F-BAR homology domain",
1990,FhuF 2Fe-2S C-terminal domain,
1991,"Fibrinogen beta and gamma chains, C-terminal globular domain",
1992,Fibrinogen binding protein,
1993,Fibrobacter succinogenes major domain (Fib_succ_major),
1994,Fibronectin binding repeat,
1995,Fibronectin type III domain,
1996,Fibronectin type-III domain,
1997,Fic/DOC family,
1998,Fic/DOC family N-terminal,
1999,"Filamentation induced by cAMP protein Fic-like, C-terminal domain",
2000,Filamin/ABP280 repeat,
2001,Fimbrial assembly protein (PilN),
2002,Fimbrial protein,
2003,Fimbrillin-A associated anchor proteins Mfa1 and Mfa2,
2004,Fimbrillin-like,
2005,"Fimbrium tip subunit Fim1C-like, C-terminal domain",
2006,Fingers domain of DNA polymerase lambda,
2007,Firmicute plasmid replication protein (RepL),
2008,FixH,
2009,FlaG protein,
2010,Flagella basal body rod protein,
2011,Flagellar Assembly Protein A N-terminal region,
2012,Flagellar Assembly Protein A beta solenoid domain,
2013,Flagellar FliJ protein,
2014,Flagellar L-ring protein,
2015,Flagellar M-ring protein C-terminal,
2016,Flagellar and Swarming motility proteins,
2017,Flagellar assembly protein FliH,
2018,Flagellar basal body protein FlaE,
2019,Flagellar basal body rod FlgEFG protein C-terminal,
2020,Flagellar basal body-associated protein FliL,
2021,"Flagellar biosynthesis protein, FliO",
2022,Flagellar hook capping protein - N-terminal region,
2023,"Flagellar hook-associated protein 1, D2-like domain",
